bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
6/8/2024 1:00:00 PM,6/8/2024 9:00:00 AM,171365.60,171692.00,172374.10
6/8/2024 2:00:00 PM,6/8/2024 10:00:00 AM,172592.00,172918.90,172374.10
6/8/2024 3:00:00 PM,6/8/2024 11:00:00 AM,173062.20,173361.30,172374.10
6/8/2024 4:00:00 PM,6/8/2024 12:00:00 PM,174887.50,175206.50,172374.10
6/8/2024 5:00:00 PM,6/8/2024 1:00:00 PM,175644.40,175943.40,172374.10
6/8/2024 6:00:00 PM,6/8/2024 2:00:00 PM,175853.30,176402.90,172374.10
6/8/2024 7:00:00 PM,6/8/2024 3:00:00 PM,176764.40,177221.50,172374.10
6/8/2024 8:00:00 PM,6/8/2024 4:00:00 PM,176255.40,176558.10,172374.10
6/8/2024 9:00:00 PM,6/8/2024 5:00:00 PM,175198.50,175494.10,172374.10
6/8/2024 10:00:00 PM,6/8/2024 6:00:00 PM,173310.90,173611.50,172374.10
6/8/2024 11:00:00 PM,6/8/2024 7:00:00 PM,170762.50,171109.00,172374.10
6/9/2024 12:00:00 AM,6/8/2024 8:00:00 PM,174927.20,176780.80,172374.10
6/9/2024 1:00:00 AM,6/8/2024 9:00:00 PM,174999.00,176852.60,172374.10
6/9/2024 2:00:00 AM,6/8/2024 10:00:00 PM,174696.90,176541.00,172374.10
6/9/2024 3:00:00 AM,6/8/2024 11:00:00 PM,174708.60,176575.70,172374.10
6/9/2024 4:00:00 AM,6/9/2024 12:00:00 AM,166707.30,167101.60,172374.10
6/9/2024 5:00:00 AM,6/9/2024 1:00:00 AM,166372.80,166960.60,172374.10
6/9/2024 6:00:00 AM,6/9/2024 2:00:00 AM,166357.10,166899.60,172374.10
6/9/2024 7:00:00 AM,6/9/2024 3:00:00 AM,166502.60,167043.00,172374.10
6/9/2024 8:00:00 AM,6/9/2024 4:00:00 AM,167397.50,168043.80,172374.10
