,Ours,Competitor1,Competitor2,PJM,Demand
2024-08-03 22:00:00,546590705.9154732,501318904.39150727,489627153.7359049,881423247,478373088.0
2024-08-03 23:00:00,546704102.6110826,501428966.39150727,489716454.8078453,881601985,478472122.0
2024-08-04 00:00:00,546808564.7186213,501531751.6254799,489811723.0955084,881769468,478565171.0
2024-08-04 01:00:00,546903330.7695485,501625327.99479496,489906666.4602587,881936485,478653555.0
2024-08-04 02:00:00,546997577.7299333,501713651.99479496,490001284.9958807,882104194,478738267.0
2024-08-04 03:00:00,547091868.1428751,501800858.174247,490095578.8012973,882271906,478820641.0
2024-08-04 04:00:00,547185813.6550518,501885038.6175347,490189547.98087376,882439775,478901482.0
2024-08-04 05:00:00,547279595.6547227,501969258.52000046,490283192.6447405,882607997,478981957.0
2024-08-04 06:00:00,547373377.6543936,502051798.52000046,490376512.9091358,882776757,479062323.0
2024-08-04 07:00:00,547467668.0673354,502137787.81123334,490469508.89676994,882946721,479144604.0
2024-08-04 08:00:00,547562173.2790238,502228778.3887676,490562180.7372118,883119774,479232223.0
2024-08-04 09:00:00,547666242.3416811,502328351.3887676,490654528.5673003,883293636,479326090.0
2024-08-04 10:00:00,547779639.0372905,502439335.67589086,490746552.53158075,883468511,479426340.0
2024-08-04 11:00:00,547895346.1530321,502551944.67589086,490838252.78276896,883643857,479533098.0
2024-08-04 12:00:00,548022767.8401123,502670780.014521,490929629.4822447,883819571,479645850.0
2024-08-04 13:00:00,548160796.5738114,502791845.6854799,491020682.8005758,883995339,479763567.0
2024-08-04 14:00:00,548305904.6064878,502915911.6854799,491111412.9180756,884171161,479885652.0
2024-08-04 15:00:00,548450710.4492911,503044231.2394525,491201820.0253955,884346260,480011204.0
2024-08-04 16:00:00,548593612.295516,503176664.23589087,491291904.32415485,884521000,480139117.0
2024-08-04 17:00:00,548737255.6527046,503310535.23589087,491381666.027611,884695011,480268165.0
2024-08-04 18:00:00,548880500.8926864,503446788.3767128,491471105.3613717,884867158,480396916.0
2024-08-04 19:00:00,549025306.7354897,503575260.7336991,491560222.5641527,885036871,480522402.0
2024-08-04 20:00:00,549167271.0784864,503700106.3383566,491649017.888584,885216460,480643865.0
2024-08-04 21:00:00,549305299.8121855,503823518.5115073,491737491.60206693,885396668,480760988.0
2024-08-04 22:00:00,549424343.8259997,503937782.5115073,491825643.98768616,885576951,480870817.0
2024-08-04 23:00:00,549539911.8505232,504048756.59753466,491913475.34518045,885757439,480973295.0
2024-08-05 00:00:00,549644373.9580619,504149236.113699,492017309.1566333,885926004,481069460.0
2024-08-05 01:00:00,549743933.2875688,504243179.833973,492120817.57427657,886095136,481160779.0
2024-08-05 02:00:00,549838321.9685941,504334326.6120552,492224000.6663422,886265069,481248796.0
2024-08-05 03:00:00,549932568.9289788,504423397.97972643,492326858.50470054,886435249,481334824.0
2024-08-05 04:00:00,550026815.8893635,504512544.97972643,492429391.16507155,886605554,481420879.0
2024-08-05 05:00:00,550121502.826978,504603080.73068535,492531598.72724915,886776154,481509506.0
2024-08-05 06:00:00,550221863.3251404,504698362.73068535,492633481.2753392,886946715,481602409.0
2024-08-05 07:00:00,550330206.4932929,504800007.73068535,492735038.8980122,887118825,481700556.0
2024-08-05 08:00:00,550445913.6090345,504910431.0600004,492836271.68877167,887292370,481804760.0
2024-08-05 09:00:00,550565227.6076251,505029516.0600004,492937179.74623865,887466073,481915360.0
2024-08-05 10:00:00,550703256.3413242,505151394.89945245,493037763.1744545,887640438,482033468.0
2024-08-05 11:00:00,550846990.1020911,505283663.89945245,493138022.0832018,887815183,482158916.0
