,Ours,Competitor1,Competitor2,PJM
2024-02-22 03:00:00,0.0,-17081.615616438386,-7235449.476660701,0.0
2024-02-22 04:00:00,0.0,-17081.615616438386,-7235449.476660701,0.0
2024-02-22 05:00:00,0.0,-17081.615616438386,-7235449.476660701,0.0
2024-02-22 06:00:00,0.0,-17081.615616438386,-7237500.0651016515,0.0
2024-02-22 07:00:00,0.0,-17081.615616438386,-7243617.929829757,0.0
2024-02-22 08:00:00,0.0,-17081.615616438386,-7247874.047579787,0.0
2024-02-22 09:00:00,0.0,-17081.615616438386,-7249235.393983346,0.0
2024-02-22 10:00:00,0.0,-17081.615616438386,-7249235.393983346,0.0
2024-02-22 11:00:00,0.0,-17081.615616438386,-7249235.393983346,0.0
2024-02-22 12:00:00,0.0,-17081.615616438386,-7249235.393983346,0.0
2024-02-22 13:00:00,0.0,-17081.615616438386,-7249235.393983346,0.0
2024-02-22 14:00:00,0.0,-17081.615616438386,-7249235.393983346,0.0
2024-02-22 15:00:00,0.0,-17081.615616438386,-7249235.393983346,0.0
2024-02-22 16:00:00,0.0,-17081.615616438386,-7249424.55261897,0.0
2024-02-22 17:00:00,0.0,-17081.615616438386,-7252166.697355218,0.0
2024-02-22 18:00:00,0.0,-17081.615616438386,-7257395.790767311,0.0
2024-02-22 19:00:00,0.0,-17081.615616438386,-7262445.793551586,0.0
2024-02-22 20:00:00,0.0,-17081.615616438386,-7266048.664420612,0.0
2024-02-22 21:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-22 22:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-22 23:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-23 00:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-23 01:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-23 02:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-23 03:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-23 04:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-23 05:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-23 06:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-23 07:00:00,0.0,-17081.615616438386,-7266722.359992068,0.0
2024-02-23 08:00:00,0.0,-17081.615616438386,-7267653.436908427,0.0
2024-02-23 09:00:00,0.0,-17081.615616438386,-7267970.68943914,0.0
2024-02-23 10:00:00,0.0,-17081.615616438386,-7267970.68943914,0.0
2024-02-23 11:00:00,0.0,-17081.615616438386,-7267970.68943914,0.0
2024-02-23 12:00:00,0.0,-17081.615616438386,-7267970.68943914,0.0
2024-02-23 13:00:00,0.0,-17081.615616438386,-7267970.68943914,0.0
2024-02-23 14:00:00,0.0,-17081.615616438386,-7267970.68943914,0.0
2024-02-23 15:00:00,0.0,-17081.615616438386,-7267970.68943914,0.0
2024-02-23 16:00:00,0.0,-17081.615616438386,-7267970.68943914,0.0
2024-02-23 17:00:00,0.0,-17081.615616438386,-7268133.210840207,0.0
2024-02-23 18:00:00,0.0,-17081.615616438386,-7270953.59901867,0.0
2024-02-23 19:00:00,0.0,-17081.615616438386,-7274092.810510236,0.0
2024-02-23 20:00:00,0.0,-17081.615616438386,-7276577.799632929,0.0
2024-02-23 21:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-23 22:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-23 23:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 00:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 01:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 02:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 03:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 04:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 05:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 06:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 07:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 08:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 09:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 10:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 11:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 12:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 13:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 14:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 15:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 16:00:00,0.0,-17081.615616438386,-7277396.518361964,0.0
2024-02-24 17:00:00,0.0,-17081.615616438386,-7279157.245806404,0.0
2024-02-24 18:00:00,0.0,-17081.615616438386,-7285618.749404977,0.0
2024-02-24 19:00:00,0.0,-17081.615616438386,-7293673.98104046,0.0
2024-02-24 20:00:00,0.0,-17081.615616438386,-7301799.890114503,0.0
2024-02-24 21:00:00,0.0,-17081.615616438386,-7309146.4234066615,0.0
2024-02-24 22:00:00,0.0,-17081.615616438386,-7314792.524924927,0.0
2024-02-24 23:00:00,0.0,-17081.615616438386,-7318551.13574723,0.0
2024-02-25 00:00:00,0.0,-17081.615616438386,-7318551.13574723,0.0
2024-02-25 01:00:00,0.0,-17081.615616438386,-7318551.13574723,0.0
2024-02-25 02:00:00,0.0,-17081.615616438386,-7318551.13574723,0.0
2024-02-25 03:00:00,0.0,-17081.615616438386,-7318551.13574723,0.0
2024-02-25 04:00:00,0.0,-17081.615616438386,-7318551.13574723,0.0
2024-02-25 05:00:00,0.0,-17081.615616438386,-7319291.441659991,0.0
2024-02-25 06:00:00,0.0,-17081.615616438386,-7323237.8934904765,0.0
2024-02-25 07:00:00,0.0,-17081.615616438386,-7329237.461676036,0.0
2024-02-25 08:00:00,0.0,-17081.615616438386,-7333791.115208579,0.0
2024-02-25 09:00:00,0.0,-17081.615616438386,-7334944.821555296,0.0
2024-02-25 10:00:00,0.0,-17081.615616438386,-7334944.821555296,0.0
2024-02-25 11:00:00,0.0,-17081.615616438386,-7334944.821555296,0.0
2024-02-25 12:00:00,0.0,-17081.615616438386,-7334944.821555296,0.0
2024-02-25 13:00:00,0.0,-17081.615616438386,-7334944.821555296,0.0
2024-02-25 14:00:00,0.0,-17081.615616438386,-7334944.821555296,0.0
2024-02-25 15:00:00,0.0,-17081.615616438386,-7334944.821555296,0.0
2024-02-25 16:00:00,0.0,-17081.615616438386,-7334944.821555296,0.0
2024-02-25 17:00:00,0.0,-17081.615616438386,-7334944.821555296,0.0
2024-02-25 18:00:00,0.0,-17081.615616438386,-7340353.241899078,0.0
2024-02-25 19:00:00,0.0,-17081.615616438386,-7347930.284688271,0.0
2024-02-25 20:00:00,0.0,-17081.615616438386,-7355379.893820152,0.0
2024-02-25 21:00:00,0.0,-17081.615616438386,-7360929.0102550965,0.0
2024-02-25 22:00:00,0.0,-17081.615616438386,-7363630.571848045,0.0
2024-02-25 23:00:00,0.0,-17081.615616438386,-7363630.571848045,0.0
2024-02-26 00:00:00,0.0,-17081.615616438386,-7363630.571848045,0.0
2024-02-26 01:00:00,0.0,-17081.615616438386,-7363630.571848045,0.0
2024-02-26 02:00:00,0.0,-17081.615616438386,-7363630.571848045,0.0
2024-02-26 03:00:00,0.0,-17081.615616438386,-7363630.571848045,0.0
2024-02-26 04:00:00,0.0,-17081.615616438386,-7363630.571848045,0.0
2024-02-26 05:00:00,0.0,-17081.615616438386,-7363630.571848045,0.0
2024-02-26 06:00:00,0.0,-17081.615616438386,-7363630.571848045,0.0
2024-02-26 07:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 08:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 09:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 10:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 11:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 12:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 13:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 14:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 15:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 16:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 17:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 18:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 19:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 20:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 21:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 22:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-26 23:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 00:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 01:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 02:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 03:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 04:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 05:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 06:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 07:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 08:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 09:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 10:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 11:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 12:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 13:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 14:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 15:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 16:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 17:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 18:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 19:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 20:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 21:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 22:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-27 23:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 00:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 01:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 02:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 03:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 04:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 05:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 06:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 07:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 08:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 09:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 10:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 11:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 12:00:00,0.0,-17081.615616438386,-7364242.757046924,0.0
2024-02-28 13:00:00,0.0,-17460.615616438386,-7364242.757046924,0.0
2024-02-28 14:00:00,0.0,-17542.392876712358,-7364242.757046924,0.0
2024-02-28 15:00:00,0.0,-17990.943013698663,-7364242.757046924,0.0
2024-02-28 16:00:00,0.0,-17990.943013698663,-7364242.757046924,0.0
2024-02-28 17:00:00,0.0,-17990.943013698663,-7364553.761272805,0.0
2024-02-28 18:00:00,0.0,-17990.943013698663,-7367648.5375946285,0.0
2024-02-28 19:00:00,0.0,-17990.943013698663,-7371535.037731616,0.0
2024-02-28 20:00:00,0.0,-17990.943013698663,-7374585.210913796,0.0
2024-02-28 21:00:00,0.0,-17990.943013698663,-7375682.003740596,0.0
2024-02-28 22:00:00,0.0,-18818.711506849344,-7375682.003740596,0.0
2024-02-28 23:00:00,0.0,-20937.711506849344,-7375682.003740596,0.0
2024-02-29 00:00:00,0.0,-21446.711506849344,-7375682.003740596,0.0
2024-02-29 01:00:00,0.0,-21446.711506849344,-7375682.003740596,0.0
2024-02-29 02:00:00,0.0,-21536.71287671235,-7375682.003740596,0.0
2024-02-29 03:00:00,0.0,-22467.51424657536,-7375682.003740596,0.0
2024-02-29 04:00:00,0.0,-22467.51424657536,-7375682.003740596,0.0
2024-02-29 05:00:00,0.0,-24288.541917808237,-7375682.003740596,0.0
2024-02-29 06:00:00,0.0,-24288.541917808237,-7382599.762416421,0.0
2024-02-29 07:00:00,0.0,-24288.541917808237,-7393465.634551282,0.0
2024-02-29 08:00:00,0.0,-24288.541917808237,-7401717.5890293615,0.0
2024-02-29 09:00:00,0.0,-24288.541917808237,-7406455.593205075,0.0
2024-02-29 10:00:00,0.0,-24288.541917808237,-7408704.612818848,0.0
2024-02-29 11:00:00,0.0,-24288.541917808237,-7408704.612818848,0.0
2024-02-29 12:00:00,0.0,-24288.541917808237,-7408704.612818848,0.0
2024-02-29 13:00:00,0.0,-24288.541917808237,-7408704.612818848,0.0
2024-02-29 14:00:00,0.0,-24288.541917808237,-7408704.612818848,0.0
2024-02-29 15:00:00,0.0,-24288.541917808237,-7408704.612818848,0.0
2024-02-29 16:00:00,0.0,-24288.541917808237,-7408704.612818848,0.0
2024-02-29 17:00:00,0.0,-24288.541917808237,-7411305.625527433,0.0
2024-02-29 18:00:00,0.0,-24288.541917808237,-7419259.309597681,0.0
2024-02-29 19:00:00,0.0,-24288.541917808237,-7429491.61152398,0.0
2024-02-29 20:00:00,0.0,-24288.541917808237,-7439701.475013702,0.0
2024-02-29 21:00:00,0.0,-24288.541917808237,-7448166.840827797,0.0
2024-02-29 22:00:00,0.0,-24288.541917808237,-7453344.646611729,0.0
2024-02-29 23:00:00,0.0,-24288.541917808237,-7455483.826716152,0.0
2024-03-01 00:00:00,0.0,-24288.541917808237,-7455483.826716152,0.0
2024-03-01 01:00:00,0.0,-24288.541917808237,-7455483.826716152,0.0
2024-03-01 02:00:00,0.0,-24288.541917808237,-7455483.826716152,0.0
2024-03-01 03:00:00,0.0,-24288.541917808237,-7455483.826716152,0.0
2024-03-01 04:00:00,0.0,-24288.541917808237,-7455483.826716152,0.0
2024-03-01 05:00:00,0.0,-24288.541917808237,-7456212.918284403,0.0
2024-03-01 06:00:00,0.0,-24288.541917808237,-7464483.478997359,0.0
2024-03-01 07:00:00,0.0,-24288.541917808237,-7475125.494415133,0.0
2024-03-01 08:00:00,0.0,-24288.541917808237,-7482088.949458016,0.0
2024-03-01 09:00:00,0.0,-24288.541917808237,-7484859.82837363,0.0
2024-03-01 10:00:00,0.0,-24288.541917808237,-7484859.82837363,0.0
2024-03-01 11:00:00,0.0,-24288.541917808237,-7484859.82837363,0.0
2024-03-01 12:00:00,0.0,-24288.541917808237,-7484859.82837363,0.0
2024-03-01 13:00:00,0.0,-24288.541917808237,-7484859.82837363,0.0
2024-03-01 14:00:00,0.0,-24288.541917808237,-7484859.82837363,0.0
2024-03-01 15:00:00,0.0,-24288.541917808237,-7484859.82837363,0.0
2024-03-01 16:00:00,0.0,-24288.541917808237,-7484859.82837363,0.0
2024-03-01 17:00:00,0.0,-24288.541917808237,-7487266.438059096,0.0
2024-03-01 18:00:00,0.0,-24288.541917808237,-7492085.293150012,0.0
2024-03-01 19:00:00,0.0,-24288.541917808237,-7496615.3688949505,0.0
2024-03-01 20:00:00,0.0,-24288.541917808237,-7499725.63935889,0.0
2024-03-01 21:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-01 22:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-01 23:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 00:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 01:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 02:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 03:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 04:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 05:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 06:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 07:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 08:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 09:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 10:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 11:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 12:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 13:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 14:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 15:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 16:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 17:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 18:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 19:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 20:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 21:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 22:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-02 23:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 00:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 01:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 02:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 03:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 04:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 05:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 06:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 07:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 08:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 09:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 10:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 11:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 12:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 13:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 14:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 15:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 16:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 17:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 18:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 19:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
2024-03-03 20:00:00,0.0,-24288.541917808237,-7500473.077359248,0.0
