Peak Time,mu,sigma,xi,mean,VaR,EUE
2020-06-12 17:00:00-04:00,104376.81273406766,3918.157042012116,-0.3317188155313185,105638.64092056006,115411.08118914992,0.053056930761767575
2020-06-13 17:00:00-04:00,83045.19548903094,4773.224759340836,-0.44396650867008014,84273.66624986811,93514.7072505474,0.02373962940901362
2020-06-14 18:00:00-04:00,82312.4706908442,4777.233284908935,-0.4436482720947059,83542.80227240083,92797.55325314231,0.023826917493225505
2020-06-15 17:00:00-04:00,88347.56148050171,4118.151579257782,-0.3824209903796031,89549.7362636344,98648.58090725508,0.035442251811311935
2020-06-16 17:00:00-04:00,95525.23480461078,3222.7612631113484,-0.2731807169657656,96682.2588436806,106067.40916376552,0.07377987716256877
2020-06-17 17:00:00-04:00,100532.77068400245,3842.0007388975805,-0.27809017131326563,101899.81793502982,112936.71227701011,0.08416026916621215
2020-06-18 17:00:00-04:00,104534.43534707745,3909.291174548765,-0.33284667058873674,105790.71794070453,115513.54902658272,0.05240502743589874
2020-06-19 16:00:00-04:00,107141.31361900644,3892.2421725171052,-0.2746169853046012,108535.04091081803,119824.53698810434,0.08796373432942298
2020-06-20 17:00:00-04:00,104534.43534707745,3909.291174548765,-0.33284667058873674,105790.71794070453,115513.54902658272,0.05240502743589874
2020-06-21 17:00:00-04:00,112148.18519540782,4276.193326054753,-0.18454486168674414,113945.8358749408,130219.82884352356,0.21769493594981354
2020-06-22 16:00:00-04:00,124987.76723920359,6129.2370697267515,-0.2820475149169948,127152.92667145446,144569.35218666244,0.12957357414061213
2020-06-23 17:00:00-04:00,125874.50319431214,6073.717099881157,-0.27013048033780146,128067.20092198976,145906.3625040024,0.1429130067657488
2020-06-24 17:00:00-04:00,124987.76723920359,6129.2370697267515,-0.2820475149169948,127152.92667145446,144569.35218666244,0.12957357414061213
2020-06-25 17:00:00-04:00,116982.63141618842,5153.469731085641,-0.13953473682031642,119325.06707589721,142157.09459214125,0.39450436335785816
2020-06-26 16:00:00-04:00,122544.3952769448,6040.0739771547,-0.21712173771964377,124942.2483160215,145676.1695966177,0.2290888289555713
2020-06-27 17:00:00-04:00,116982.63141618842,5153.469731085641,-0.13953473682031642,119325.06707589721,142157.09459214125,0.39450436335785816
2020-06-28 17:00:00-04:00,118230.81898775171,5414.366709558153,-0.14034656120071146,120688.39725045055,144608.2765338529,0.4114324491749971
2020-06-29 16:00:00-04:00,126105.40124045497,6064.561771786938,-0.2655074662438692,128313.24339762934,146359.04463158053,0.14875396684734696
2020-06-30 17:00:00-04:00,124987.76723920359,6129.2370697267515,-0.2820475149169948,127152.92667145446,144569.35218666244,0.12957357414061213
2020-07-01 16:00:00-04:00,124987.76723920359,6129.2370697267515,-0.2820475149169948,127152.92667145446,144569.35218666244,0.12957357414061213
2020-07-02 17:00:00-04:00,129100.52731339147,6148.765549865922,-0.22381079721617303,131512.77039707868,152191.89924988349,0.21955395012672144
2020-07-03 17:00:00-04:00,125874.50319431214,6073.717099881157,-0.27013048033780146,128067.20092198976,145906.3625040024,0.1429130067657488
2020-07-04 16:00:00-04:00,122544.3952769448,6040.0739771547,-0.21712173771964377,124942.2483160215,145676.1695966177,0.2290888289555713
2020-07-05 17:00:00-04:00,125874.50319431214,6073.717099881157,-0.27013048033780146,128067.20092198976,145906.3625040024,0.1429130067657488
2020-07-06 14:00:00-04:00,130710.97317374815,6118.578759957243,-0.21368033095036532,133154.81534741196,154382.66421990845,0.2393872689718719
2020-07-07 16:00:00-04:00,130710.97317374815,6118.578759957243,-0.21368033095036532,133154.81534741196,154382.66421990845,0.2393872689718719
2020-07-08 16:00:00-04:00,130710.97317374815,6118.578759957243,-0.21368033095036532,133154.81534741196,154382.66421990845,0.2393872689718719
2020-07-09 17:00:00-04:00,130710.97317374815,6118.578759957243,-0.21368033095036532,133154.81534741196,154382.66421990845,0.2393872689718719
2020-07-10 15:00:00-04:00,124987.76723920359,6129.2370697267515,-0.2820475149169948,127152.92667145446,144569.35218666244,0.12957357414061213
2020-07-11 17:00:00-04:00,122383.51591011038,6027.065658910909,-0.21431906357550862,124788.09131298585,145657.13324780838,0.23445127365826823
2020-07-12 17:00:00-04:00,116982.63141618842,5153.469731085641,-0.13953473682031642,119325.06707589721,142157.09459214125,0.39450436335785816
2020-07-13 17:00:00-04:00,122544.3952769448,6040.0739771547,-0.21712173771964377,124942.2483160215,145676.1695966177,0.2290888289555713
2020-07-14 17:00:00-04:00,124987.76723920359,6129.2370697267515,-0.2820475149169948,127152.92667145446,144569.35218666244,0.12957357414061213
2020-07-15 17:00:00-04:00,128877.76054802552,6168.57445202923,-0.2173892952523567,131325.46806937558,152483.06022829094,0.23339841372501713
2020-07-16 17:00:00-04:00,124987.76723920359,6129.2370697267515,-0.2820475149169948,127152.92667145446,144569.35218666244,0.12957357414061213
2020-07-17 17:00:00-04:00,129330.40298829725,6140.716572353312,-0.22059309805278984,131753.27279162532,152609.19312529181,0.22572412530351785
2020-07-18 17:00:00-04:00,129527.44004504656,6160.43407331381,-0.21699380386837303,131973.62851968422,153129.04712127242,0.2339237688187979
2020-07-19 17:00:00-04:00,130710.97317374815,6118.578759957243,-0.21368033095036532,133154.81534741196,154382.66421990845,0.2393872689718719
2020-07-20 16:00:00-04:00,131018.6226040966,6084.242843679324,-0.21363685004628927,133448.93722741652,154560.50428545926,0.23813733228766967
2020-07-21 16:00:00-04:00,130880.26254350683,6113.547785540177,-0.21702058278917355,133307.71838125418,154300.394144053,0.23208731273075167
