,Ours,Competitor1,Competitor2,PJM,Demand
2024-11-19 09:00:00,94246.96038477495,87430.0,99593.6834811963,166076,85844.0
2024-11-19 10:00:00,94246.96038477495,86997.78876712329,99282.19431577343,166084,85305.0
2024-11-19 11:00:00,94246.96038477495,87059.46273972603,98971.6020944823,165472,84783.0
2024-11-19 12:00:00,94246.96038477495,89874.34602739727,98661.96233089312,164834,84879.0
2024-11-19 13:00:00,94246.96038477495,87071.96657534246,98353.33410187364,163932,84874.0
2024-11-19 14:00:00,94246.96038477495,86198.26767123288,98045.78028201347,163515,84651.0
2024-11-19 15:00:00,94246.96038477495,88419.0,97739.36779375066,162840,85105.0
2024-11-19 16:00:00,94246.96038477495,93974.0,97434.16787426584,161780,87212.0
2024-11-19 17:00:00,94766.05092722652,93055.0,97130.25636028296,160606,90696.0
2024-11-19 18:00:00,97352.47188285024,96703.32273972603,96827.71399199571,160621,90976.0
2024-11-19 19:00:00,94766.05092722652,93055.0,96526.62673741886,163443,89580.0
2024-11-19 20:00:00,94686.93761446084,90398.0,96227.08613855696,163198,87330.0
2024-11-19 21:00:00,94246.96038477495,86509.0,95929.1896808761,163478,83977.0
2024-11-19 22:00:00,93781.99967089576,81831.41616438357,95633.04118766713,163372,79643.0
2024-11-19 23:00:00,93781.99967089576,78317.44191780822,95338.75124100014,164586,75375.0
2024-11-20 00:00:00,93781.99967089576,73955.26630136986,100968.04259938229,158774,72336.0
2024-11-20 01:00:00,93781.99967089576,71673.0,100651.59625235289,158660,70224.0
2024-11-20 02:00:00,93781.99967089576,69934.31123287672,100335.74270971035,159176,69166.0
2024-11-20 03:00:00,93781.99967089576,69938.0,100020.51807979001,159307,68731.0
2024-11-20 04:00:00,93781.99967089576,71673.0,99705.96076320493,160105,70181.0
2024-11-20 05:00:00,93781.99967089576,75972.87369863014,99392.111602435,161199,74367.0
2024-11-20 06:00:00,93781.99967089576,81923.78739726027,99079.01404136371,160677,81085.0
2024-11-20 07:00:00,94246.96038477495,87456.82164383562,98766.7142954472,161516,85047.0
2024-11-20 08:00:00,94246.96038477495,88749.96657534246,98455.26153322964,161941,85887.0
2024-11-20 09:00:00,94246.96038477495,87419.43616438356,98144.70806997456,162416,85652.0
2024-11-20 10:00:00,94246.96038477495,90538.0,97835.10957423135,162682,85081.0
